Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    82    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -111
    83    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -111
    84    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -111
    85    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha               -111
    86    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']          bajar                  -112
    87    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha               -114
    88    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']          subir                  -115
    89    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -117
    90    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda              -117
    91    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']          bajar                  -118
    92    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                 -120
    93    ['B', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                 -123
    94    ['B', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha               -126
    95    ['C', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']          subir                  -127
    96    ['F', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                 -129
    97    ['F', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda              -132
    98    ['E', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha               -133
    99    ['F', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -134
__________________________________________________________________________________________


Prueba en SeisCuartos con un agente reactivo basado en modelo.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteReactivo_Modelo_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    0     ['A', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']         limpiar                    0
    1     ['A', 'limpio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']        ir_Derecha                 -3
    2     ['B', 'limpio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']         limpiar                   -4
    3     ['B', 'limpio', 'limpio', 'sucio', 'sucio', 'sucio', 'sucio']        ir_Derecha                 -7
    4     ['C', 'limpio', 'limpio', 'sucio', 'sucio', 'sucio', 'sucio']         limpiar                   -8
    5     ['C', 'limpio', 'limpio', 'limpio', 'sucio', 'sucio', 'sucio']          subir                   -11
    6     ['F', 'limpio', 'limpio', 'limpio', 'sucio', 'sucio', 'sucio']         limpiar                  -13
    7     ['F', 'limpio', 'limpio', 'limpio', 'sucio', 'sucio', 'limpio']       ir_Izquierda               -16
    8     ['E', 'limpio', 'limpio', 'limpio', 'sucio', 'sucio', 'limpio']         limpiar                  -17
    9     ['E', 'limpio', 'limpio', 'limpio', 'sucio', 'limpio', 'limpio']       ir_Izquierda               -20
    10    ['D', 'limpio', 'limpio', 'limpio', 'sucio', 'limpio', 'limpio']         limpiar                  -21
    11    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    12    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    13    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
